Contrato,Idade,Sexo,Valor_Renda,UF_Cliente,Perc_Juros,Prazo_Emprestimo,Data_Contratacao,Prazo_Restante,VL_Emprestimo,VL_Emprestimo_ComJuros,QT_Total_Parcelas_Pagas,QT_Total_Parcelas_Pagas_EmDia,QT_Total_Parcelas_Pagas_EmAtraso,Qt_Renegociacao,Estado_Civil,Escolaridade,Possui_Patrimonio,VL_Patrimonio,QT_Parcelas_Atraso,QT_Dias_Atraso,Saldo_Devedor,Total_Pago,Possivel_Fraude
322076677715,46,M,15000.00,RS,17.0000,140,2022-09-09,143,160000.00,184000.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,13,376,188582.84,1380.20,Sim
322076679715,53,M,3200.00,SP,23.0000,48,2022-09-09,35,12000.00,13800.00,14,8,5,0,CASADO (A),NULL,N,0.00,0,NULL,10639.65,4458.55,Nao
322076683715,29,M,15000.00,SP,16.0000,80,2022-09-09,74,100000.00,115000.00,12,4,0,3,CASADO (A),Nenhum,N,0.00,0,NULL,72633.78,44472.62,Nao
322076684715,50,M,3500.00,SP,14.4000,60,2022-09-09,91,30000.00,34500.00,14,7,0,0,CASADO (A),NULL,N,0.00,0,NULL,26541.73,8186.61,Nao
322076689715,39,F,2900.00,BA,18.0000,80,2022-09-05,74,50000.00,57500.00,11,4,0,0,SOLTEIRO(A),NULL,N,0.00,3,103,51448.72,8326.00,Nao
322076690715,24,F,1335.00,RJ,23.0000,60,2022-09-09,51,8000.00,9200.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,13,376,9942.89,168.34,Sim
322076691715,41,M,4200.00,PR,23.0000,60,2022-09-09,71,25000.00,28750.00,1,1,0,0,SOLTEIRO(A),NULL,N,0.00,13,376,31071.51,526.08,Sim
322076699715,45,M,3000.00,SP,18.0000,80,2022-09-09,74,40000.00,46000.00,2,1,1,1,CASADO (A),NULL,N,0.00,12,344,46713.61,1206.00,Sim
322076700715,19,M,2400.00,SP,18.0000,70,2022-09-10,75,30000.00,34500.00,7,5,1,1,SOLTEIRO(A),NULL,N,0.00,7,194,32282.42,3625.08,Sim
322076704715,32,M,1700.00,PE,21.0000,80,2022-09-12,74,45000.00,51750.00,2,2,0,1,SOLTEIRO(A),NULL,N,0.00,12,344,54070.26,1091.25,Sim
322076707715,45,M,2098.00,GO,20.0000,100,2022-09-09,91,30000.00,34500.00,7,6,0,0,CASADO (A),NULL,N,0.00,7,194,33904.57,2583.70,Sim
322076708715,37,M,7000.00,MA,23.0000,200,2022-09-09,193,80000.00,92000.00,11,1,5,1,SOLTEIRO(A),NULL,N,0.00,3,71,93806.48,5510.72,Nao
322076709715,27,M,4500.00,MG,24.0000,20,2022-09-09,8,5000.00,5750.00,6,4,0,0,SOLTEIRO(A),NULL,N,0.00,8,225,4591.17,1926.48,Sim
322076714715,55,M,7000.00,SP,19.0000,190,2022-09-09,227,200000.00,230000.00,14,3,0,1,CASADO (A),Nenhum,N,0.00,0,NULL,229687.54,10336.20,Nao
322076716715,67,F,1200.00,MG,23.0000,36,2022-09-13,35,9000.00,10350.00,4,1,2,1,SOLTEIRO(A),NULL,N,0.00,10,284,10144.48,1270.89,Sim
322076718715,23,M,2000.00,AL,18.0000,30,2022-09-15,16,10000.00,11500.00,1,1,0,0,CASADO (A),NULL,N,0.00,13,376,11808.40,400.00,Sim
322076720715,26,M,3000.00,BA,22.0000,80,2022-09-09,91,30000.00,34500.00,1,1,0,2,SOLTEIRO(A),NULL,N,0.00,12,344,36686.22,273.75,Sim
322076722715,30,F,1500.00,PR,20.0000,200,2022-09-09,193,100000.00,115000.00,2,2,0,1,CASADO (A),NULL,N,0.00,11,315,120446.12,710.00,Sim
